target,direction,pair_index,Y_left,Y_right,placebo_signed_arbitrary_orientation,placebo_abs,abs_difference_raw
B008,above_good,1,20300000,20400000,0.0049504950495049506,0.0049504950495049506,100000
B008,above_good,2,20400000,20125000,-0.013613861386138614,0.013613861386138614,275000
B008,above_good,3,20300000,20250000,-0.0024752475247524753,0.0024752475247524753,50000
B008,above_good,4,20400000,20245000,-0.007673267326732673,0.007673267326732673,155000
B008,above_good,5,20475000,20280000,-0.009653465346534653,0.009653465346534653,195000
B008,above_good,6,20250000,20250000,0.0,0.0,0
B008,above_good,7,20475000,20475000,0.0,0.0,0
B008,above_good,8,20475000,20475000,0.0,0.0,0
B008,above_good,9,20241000,20475000,0.011584158415841584,0.011584158415841584,234000
B011,below_good,1,17550000,17700000,-0.007425742574257425,0.007425742574257425,150000
B011,below_good,2,18000000,17700000,0.01485148514851485,0.01485148514851485,300000
B011,below_good,3,17550000,17700000,-0.007425742574257425,0.007425742574257425,150000
B011,below_good,4,17550000,17550000,0.0,0.0,0
B011,below_good,5,18720000,17550000,0.057920792079207924,0.057920792079207924,1170000
B011,below_good,6,17700000,17550000,0.007425742574257425,0.007425742574257425,150000
B012,below_good,1,38000000,38000000,0.0,0.0,0
B012,below_good,2,47000000,42350000,0.2301980198019802,0.2301980198019802,4650000
B012,below_good,3,40000000,45000000,-0.24752475247524752,0.24752475247524752,5000000
B012,below_good,4,38000000,35000000,0.1485148514851485,0.1485148514851485,3000000
B012,below_good,5,43400000,42000000,0.06930693069306931,0.06930693069306931,1400000
B012,below_good,6,42000000,20000000,1.0891089108910892,1.0891089108910892,22000000
B012,below_good,7,45000000,40000000,0.24752475247524752,0.24752475247524752,5000000
B036,above_good,1,16500000,16700000,0.009900990099009901,0.009900990099009901,200000
B036,above_good,2,16100000,16700000,0.0297029702970297,0.0297029702970297,600000
B036,above_good,3,17000000,17100000,0.0049504950495049506,0.0049504950495049506,100000
B036,above_good,4,15180000,16500000,0.06534653465346535,0.06534653465346535,1320000
B039,below_good,1,100000000,100000000,0.0,0.0,0
B039,below_good,2,100000000,90000000,0.49504950495049505,0.49504950495049505,10000000
B039,below_good,3,100000000,100000000,0.0,0.0,0
B039,below_good,4,97000000,100000000,-0.1485148514851485,0.1485148514851485,3000000
B039,below_good,5,110000000,100000000,0.49504950495049505,0.49504950495049505,10000000
B039,below_good,6,100000000,110000000,-0.49504950495049505,0.49504950495049505,10000000
B039,below_good,7,100000000,100000000,0.0,0.0,0
B039,below_good,8,100000000,100000000,0.0,0.0,0
B039,below_good,9,105000000,100000000,0.24752475247524752,0.24752475247524752,5000000
B039,below_good,10,102000000,100000000,0.09900990099009901,0.09900990099009901,2000000
B047,above_good,1,22500000,22500000,0.0,0.0,0
B047,above_good,2,22000000,22000000,0.0,0.0,0
B047,above_good,3,22500000,21500000,-0.04950495049504951,0.04950495049504951,1000000
B047,above_good,4,22000000,22000000,0.0,0.0,0
B047,above_good,5,22000000,22500000,0.024752475247524754,0.024752475247524754,500000
